date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_win
2000-02-16,Panama,El Salvador,4,1,Friendly,Panama City,Panama,False,True
2000-02-16,United States,Peru,1,0,Gold Cup,Miami,United States,False,True
2000-02-17,Barbados,Saint Kitts and Nevis,1,0,Friendly,Bridgetown,Barbados,False,True
2000-02-17,Malaysia,Maldives,3,0,Friendly,Kuala Lumpur,Malaysia,False,True
2000-02-18,Kuwait,Nepal,5,0,AFC Asian Cup qualification,Kuwait City,Kuwait,False,True
2000-02-19,Dominica,Antigua and Barbuda,2,0,Friendly,Roseau,Dominica,False,True
2000-02-19,Oman,Switzerland,1,4,Friendly,Muscat,Oman,False,False
2000-02-19,United States,Colombia,2,2,Gold Cup,Miami,United States,False,False
2000-02-20,Lesotho,Eswatini,1,0,Friendly,Maseru,Lesotho,False,True
2000-02-20,Macau,Japan,0,3,AFC Asian Cup qualification,Macau,Macau,False,False
2000-02-20,Thailand,Finland,0,0,King's Cup,Bangkok,Thailand,False,False
2000-02-21,Oman,United Arab Emirates,0,1,Friendly,Muscat,Oman,False,False
2000-02-23,Belgium,Portugal,1,1,Friendly,Charleroi,Belgium,False,False
2000-02-23,Croatia,Spain,0,0,Friendly,Split,Croatia,False,False
2000-02-23,England,Argentina,0,0,Friendly,London,England,False,False
2000-02-23,France,Poland,1,0,Friendly,Saint-Denis,France,False,True
2000-02-23,Greece,Austria,4,1,Friendly,Kalamáta,Greece,False,True
2000-02-23,Hungary,Australia,0,3,Friendly,Budapest,Hungary,False,False
2000-02-23,Republic of Ireland,Czech Republic,3,2,Friendly,Dublin,Republic of Ireland,False,True
2000-02-23,Israel,Russia,4,1,Friendly,Haifa,Israel,False,True
2000-02-23,Italy,Sweden,1,0,Friendly,Palermo,Italy,False,True
2000-02-23,Lebanon,Jordan,1,1,Friendly,Tripoli,Lebanon,False,False
2000-02-23,Luxembourg,Northern Ireland,1,3,Friendly,Luxembourg,Luxembourg,False,False
2000-02-23,North Macedonia,Serbia,1,2,Friendly,Skopje,North Macedonia,False,False
2000-02-23,Netherlands,Germany,2,1,Friendly,Amsterdam,Netherlands,False,True
2000-02-23,Oman,Slovenia,0,4,Friendly,Muscat,Oman,False,False
2000-02-23,Qatar,Wales,0,1,Friendly,Doha,Qatar,False,False
2000-02-23,Thailand,Brazil,0,7,King's Cup,Bangkok,Thailand,False,False
2000-02-23,Turkey,Norway,0,2,Friendly,Istanbul,Turkey,False,False
2000-02-25,British Virgin Islands,Anguilla,3,4,Friendly,Road Town,British Virgin Islands,False,False
2000-02-25,Thailand,Estonia,2,1,King's Cup,Bangkok,Thailand,False,True
2000-02-27,Botswana,Lesotho,1,0,Friendly,Gaborone,Botswana,False,True
2000-02-27,British Virgin Islands,Anguilla,5,0,Friendly,Road Town,British Virgin Islands,False,True
2000-02-27,Thailand,Finland,5,1,King's Cup,Bangkok,Thailand,False,True
2000-02-29,Barbados,Antigua and Barbuda,2,2,Friendly,Bridgetown,Barbados,False,False
2000-02-29,El Salvador,Panama,3,1,Friendly,San Salvador,El Salvador,False,True
2000-02-29,Uzbekistan,Mongolia,8,1,Friendly,Tashkent,Uzbekistan,False,True
2000-03-01,Zambia,Lesotho,2,0,Friendly,Lusaka,Zambia,False,True
2000-03-04,Honduras,Nicaragua,3,0,FIFA World Cup qualification,San Pedro Sula,Honduras,False,True
2000-03-04,Trinidad and Tobago,Curaçao,5,0,FIFA World Cup qualification,Macoya,Trinidad and Tobago,False,True
2000-03-05,Anguilla,Bahamas,1,3,FIFA World Cup qualification,The Valley,Anguilla,False,False
2000-03-05,Barbados,Grenada,2,2,FIFA World Cup qualification,Bridgetown,Barbados,False,False
2000-03-05,Bolivia,Haiti,9,2,Friendly,La Paz,Bolivia,False,True
2000-03-05,British Virgin Islands,Bermuda,1,5,FIFA World Cup qualification,Road Town,British Virgin Islands,False,False
2000-03-05,Cuba,Cayman Islands,4,0,FIFA World Cup qualification,Havana,Cuba,False,True
2000-03-05,Dominican Republic,Montserrat,3,0,FIFA World Cup qualification,San Cristóbal,Dominican Republic,False,True
2000-03-05,El Salvador,Belize,5,0,FIFA World Cup qualification,San Salvador,El Salvador,False,True
2000-03-05,Ethiopia,Sudan,1,0,Friendly,Addis Ababa,Ethiopia,False,True
2000-03-05,Saint Lucia,Suriname,1,0,FIFA World Cup qualification,Castries,Saint Lucia,False,True
2000-03-05,Saint Vincent and the Grenadines,United States Virgin Islands,9,0,FIFA World Cup qualification,Kingstown,Saint Vincent and the Grenadines,False,True
2000-03-05,Zimbabwe,Lesotho,2,1,COSAFA Cup,Harare,Zimbabwe,False,True
2000-03-06,Syria,Jordan,0,0,Friendly,Damascus,Syria,False,False
2000-03-08,Ecuador,Honduras,1,3,Friendly,Quito,Ecuador,False,False
2000-03-08,Jordan,Lebanon,1,1,Friendly,Amman,Jordan,False,False
2000-03-09,Cuba,Nicaragua,4,0,Friendly,Havana,Cuba,False,True
2000-03-10,Qatar,Sudan,3,0,Friendly,Doha,Qatar,False,True
2000-03-11,Aruba,Puerto Rico,4,2,FIFA World Cup qualification,Oranjestad,Aruba,False,True
2000-03-11,Haiti,Dominica,4,0,FIFA World Cup qualification,Port-au-Prince,Haiti,False,True
2000-03-11,Jordan,Bosnia and Herzegovina,0,0,Friendly,Zarqa,Jordan,False,False
2000-03-12,United States,Tunisia,1,1,Friendly,Birmingham,United States,False,False
2000-03-12,Zambia,Malawi,1,1,Friendly,Kitwe,Zambia,False,False
2000-03-13,Jordan,Syria,0,0,Friendly,Amman,Jordan,False,False
2000-03-13,Zambia,Malawi,0,1,Friendly,Lusaka,Zambia,False,False
2000-03-15,Japan,China PR,0,0,Friendly,Kobe,Japan,False,False
2000-03-15,Jordan,Bosnia and Herzegovina,1,2,Friendly,Zarqa,Jordan,False,False
2000-03-16,Venezuela,Bolivia,0,0,Friendly,Maracaibo,Venezuela,False,False
2000-03-17,Jordan,Syria,0,0,Friendly,Amman,Jordan,False,False
2000-03-18,Grenada,Barbados,2,3,FIFA World Cup qualification,St. George's,Grenada,False,False
2000-03-18,Puerto Rico,Aruba,2,2,FIFA World Cup qualification,San Juan,Puerto Rico,False,False
2000-03-18,Saint Kitts and Nevis,Turks and Caicos Islands,8,0,FIFA World Cup qualification,Basseterre,Saint Kitts and Nevis,False,True
2000-03-19,Bahamas,Anguilla,2,1,FIFA World Cup qualification,Nassau,Bahamas,False,True
2000-03-19,Bermuda,British Virgin Islands,9,0,FIFA World Cup qualification,Hamilton,Bermuda,False,True
2000-03-19,Botswana,Eswatini,3,0,Friendly,Gaborone,Botswana,False,True
2000-03-19,Cayman Islands,Cuba,0,0,FIFA World Cup qualification,George Town,Cayman Islands,False,False
2000-03-19,Dominica,Haiti,1,3,FIFA World Cup qualification,Roseau,Dominica,False,False
2000-03-19,Nicaragua,Panama,0,2,FIFA World Cup qualification,Diriamba,Nicaragua,False,False
2000-03-19,Suriname,Saint Lucia,1,0,FIFA World Cup qualification,Paramaribo,Suriname,False,True
2000-03-19,United States Virgin Islands,Saint Vincent and the Grenadines,1,5,FIFA World Cup qualification,Frederiksted,United States Virgin Islands,False,False
2000-03-20,Bahrain,Kazakhstan,0,1,Friendly,Manama,Bahrain,False,False
2000-03-21,Namibia,Zimbabwe,2,1,Friendly,Windhoek,Namibia,False,True
2000-03-21,Saint Kitts and Nevis,Turks and Caicos Islands,6,0,FIFA World Cup qualification,Basseterre,Saint Kitts and Nevis,False,True
2000-03-22,Bahrain,Qatar,1,0,Friendly,Manama,Bahrain,False,True
2000-03-22,Chile,Honduras,5,2,Friendly,Santiago,Chile,False,True
2000-03-22,Cyprus,Iran,0,0,Friendly,Nicosia,Cyprus,False,False
2000-03-24,Gambia,Mauritania,0,0,Friendly,Banjul,Gambia,False,False
2000-03-25,Bahrain,Jordan,1,1,Friendly,Manama,Bahrain,False,False
2000-03-25,Malaysia,Taiwan,3,0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,False,True
2000-03-25,Tanzania,Malawi,1,1,Friendly,Morogoro,Tanzania,False,False
2000-03-25,Zambia,Botswana,3,0,COSAFA Cup,Lusaka,Zambia,False,True
2000-03-25,Alderney,Jersey,0,10,Muratti Vase,Alderney,Alderney,False,False
2000-03-26,Tanzania,Malawi,4,3,Friendly,Dar es Salaam,Tanzania,False,True
2000-03-27,Malaysia,North Korea,1,1,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,False,False
2000-03-28,Colombia,Brazil,0,0,FIFA World Cup qualification,Bogotá,Colombia,False,False
2000-03-28,El Salvador,Haiti,3,1,Friendly,San Salvador,El Salvador,False,True
2000-03-28,Malta,Northern Ireland,0,3,Friendly,Attard,Malta,False,False
2000-03-29,Argentina,Chile,4,1,FIFA World Cup qualification,Buenos Aires,Argentina,False,True
2000-03-29,Austria,Sweden,1,1,Friendly,Graz,Austria,False,False
2000-03-29,Belgium,Netherlands,2,2,Friendly,Brussels,Belgium,False,False
2000-03-29,Bosnia and Herzegovina,North Macedonia,1,0,Friendly,Zenica,Bosnia and Herzegovina,False,True
2000-03-29,Bulgaria,Belarus,4,1,Friendly,Sofia,Bulgaria,False,True
2000-03-29,Croatia,Germany,1,1,Friendly,Zagreb,Croatia,False,False
2000-03-29,Czech Republic,Australia,3,1,Friendly,Teplice,Czech Republic,False,True
2000-03-29,Ecuador,Venezuela,2,0,FIFA World Cup qualification,Quito,Ecuador,False,True
2000-03-29,Greece,Romania,2,0,Friendly,Athens,Greece,False,True
2000-03-29,Hungary,Poland,0,0,Friendly,Debrecen,Hungary,False,False
2000-03-29,Israel,Georgia,1,1,Friendly,Ashkelon,Israel,False,False
2000-03-29,Malaysia,Thailand,3,2,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,False,True
2000-03-29,Peru,Paraguay,2,0,FIFA World Cup qualification,Lima,Peru,False,True
2000-03-29,Portugal,Denmark,2,1,Friendly,Leiria,Portugal,False,True
2000-03-29,Scotland,France,0,2,Friendly,Glasgow,Scotland,False,False
2000-03-29,Spain,Italy,2,0,Friendly,Barcelona,Spain,False,True
2000-03-29,Switzerland,Norway,2,2,Friendly,Lugano,Switzerland,False,False
2000-03-29,Uruguay,Bolivia,1,0,FIFA World Cup qualification,Montevideo,Uruguay,False,True
2000-03-29,Wales,Finland,1,2,Friendly,Cardiff,Wales,False,False
2000-03-31,Gambia,Mauritania,0,0,Friendly,Banjul,Gambia,False,False
2000-03-31,Qatar,Palestine,1,0,AFC Asian Cup qualification,Doha,Qatar,False,True
2000-03-31,Syria,Bahrain,1,0,AFC Asian Cup qualification,Damascus,Syria,False,True
2000-04-01,Aruba,Barbados,1,3,FIFA World Cup qualification,Oranjestad,Aruba,False,False
2000-04-01,Haiti,Bahamas,9,0,FIFA World Cup qualification,Port-au-Prince,Haiti,False,True
2000-04-01,Zambia,Kenya,1,0,Friendly,Lusaka,Zambia,False,True
2000-04-02,Cuba,Suriname,1,0,FIFA World Cup qualification,Havana,Cuba,False,True
2000-04-02,Guatemala,El Salvador,0,1,FIFA World Cup qualification,Guatemala City,Guatemala,False,False
2000-04-02,Panama,Honduras,1,0,FIFA World Cup qualification,Panama City,Panama,False,True
2000-04-02,Qatar,Kazakhstan,3,1,AFC Asian Cup qualification,Doha,Qatar,False,True
2000-04-02,Syria,Iran,0,1,AFC Asian Cup qualification,Damascus,Syria,False,False
2000-04-02,Trinidad and Tobago,Dominican Republic,3,0,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,False,True
2000-04-04,Qatar,Pakistan,5,0,AFC Asian Cup qualification,Doha,Qatar,False,True
2000-04-04,Syria,Maldives,6,0,AFC Asian Cup qualification,Damascus,Syria,False,True
2000-04-04,Thailand,North Korea,5,3,AFC Asian Cup qualification,Bangkok,Thailand,False,True
2000-04-05,South Korea,Laos,9,0,AFC Asian Cup qualification,Seoul,South Korea,False,True
2000-04-06,Thailand,Taiwan,1,0,AFC Asian Cup qualification,Bangkok,Thailand,False,True
2000-04-07,Djibouti,DR Congo,1,1,FIFA World Cup qualification,Djibouti,Djibouti,False,False
2000-04-07,South Korea,Mongolia,6,0,AFC Asian Cup qualification,Seoul,South Korea,False,True
2000-04-07,Mauritania,Tunisia,1,2,FIFA World Cup qualification,Nouakchott,Mauritania,False,False
2000-04-08,Central African Republic,Zimbabwe,0,1,FIFA World Cup qualification,Bangui,Central African Republic,False,False
2000-04-08,Botswana,Zambia,0,1,FIFA World Cup qualification,Gaborone,Botswana,False,False
2000-04-08,Fiji,Papua New Guinea,5,0,Oceania Nations Cup qualification,Suva,Fiji,False,True
2000-04-08,Guinea-Bissau,Togo,0,0,FIFA World Cup qualification,Bissau,Guinea-Bissau,False,False
2000-04-08,Madagascar,Gabon,2,0,FIFA World Cup qualification,Antananarivo,Madagascar,False,True
2000-04-08,Malawi,Kenya,2,0,FIFA World Cup qualification,Blantyre,Malawi,False,True
2000-04-08,Qatar,Jordan,2,2,AFC Asian Cup qualification,Doha,Qatar,False,False
2000-04-08,São Tomé and Príncipe,Sierra Leone,2,0,FIFA World Cup qualification,São Tomé,São Tomé and Príncipe,False,True
2000-04-08,Seychelles,Namibia,1,1,FIFA World Cup qualification,Victoria,Seychelles,False,False
2000-04-08,Tanzania,Ghana,0,1,FIFA World Cup qualification,Arusha,Tanzania,False,False
2000-04-08,Thailand,Malaysia,3,2,AFC Asian Cup qualification,Bangkok,Thailand,False,True
2000-04-08,Uganda,Guinea,4,4,FIFA World Cup qualification,Kampala,Uganda,False,False
2000-04-09,Benin,Senegal,1,1,FIFA World Cup qualification,Cotonou,Benin,False,False
2000-04-09,Cape Verde,Algeria,0,0,FIFA World Cup qualification,Mindelo,Cape Verde,False,False
2000-04-09,Chad,Liberia,0,1,FIFA World Cup qualification,N'Djamena,Chad,False,False
2000-04-09,Equatorial Guinea,Congo,1,3,FIFA World Cup qualification,Malabo,Equatorial Guinea,False,False
2000-04-09,Eritrea,Nigeria,0,0,FIFA World Cup qualification,Asmara,Eritrea,False,False
2000-04-09,Ethiopia,Burkina Faso,2,1,FIFA World Cup qualification,Addis Ababa,Ethiopia,False,True
2000-04-09,Gambia,Morocco,0,1,FIFA World Cup qualification,Bakau,Gambia,False,False
2000-04-09,Iran,Bahrain,3,0,AFC Asian Cup qualification,Tehran,Iran,False,True
2000-04-09,South Korea,Myanmar,4,0,AFC Asian Cup qualification,Seoul,South Korea,False,True
2000-04-09,Lesotho,South Africa,0,2,FIFA World Cup qualification,Maseru,Lesotho,False,False
2000-04-09,Libya,Mali,3,0,FIFA World Cup qualification,Tripoli,Libya,False,True
2000-04-09,Rwanda,Ivory Coast,2,2,FIFA World Cup qualification,Kigali,Rwanda,False,False
2000-04-09,Sudan,Mozambique,1,0,FIFA World Cup qualification,Omdurman,Sudan,False,True
2000-04-09,Egypt,Mauritius,2,0,FIFA World Cup qualification,Cairo,Egypt,False,True
2000-04-10,Fiji,New Caledonia,2,1,Oceania Nations Cup qualification,Suva,Fiji,False,True
2000-04-11,Fiji,Vanuatu,4,1,Oceania Nations Cup qualification,Suva,Fiji,False,True
2000-04-11,Iran,Syria,1,1,AFC Asian Cup qualification,Tehran,Iran,False,False
2000-04-12,Ethiopia,DR Congo,1,2,Friendly,Addis Ababa,Ethiopia,False,False
2000-04-13,Iran,Maldives,3,0,AFC Asian Cup qualification,Tehran,Iran,False,True
2000-04-15,Fiji,Solomon Islands,2,2,Oceania Nations Cup qualification,Suva,Fiji,False,False
2000-04-15,Malawi,Mozambique,2,1,COSAFA Cup,Blantyre,Malawi,False,True
2000-04-16,Antigua and Barbuda,Bermuda,0,0,FIFA World Cup qualification,St. John's,Antigua and Barbuda,False,False
2000-04-16,Bahamas,Haiti,0,4,FIFA World Cup qualification,Nassau,Bahamas,False,False
2000-04-16,Barbados,Aruba,4,0,FIFA World Cup qualification,Bridgetown,Barbados,False,True
2000-04-16,Belize,El Salvador,1,3,FIFA World Cup qualification,Orange Walk,Belize,False,False
2000-04-16,Dominican Republic,Trinidad and Tobago,0,1,FIFA World Cup qualification,San Cristóbal,Dominican Republic,False,False
2000-04-16,Nicaragua,Honduras,0,1,FIFA World Cup qualification,Diriamba,Nicaragua,False,False
2000-04-16,Saint Vincent and the Grenadines,Saint Kitts and Nevis,1,0,FIFA World Cup qualification,Kingstown,Saint Vincent and the Grenadines,False,True
2000-04-16,Suriname,Cuba,0,0,FIFA World Cup qualification,Paramaribo,Suriname,False,False
2000-04-16,Uganda,Kenya,2,2,Friendly,Kampala,Uganda,False,False
2000-04-19,Cameroon,Somalia,3,0,FIFA World Cup qualification,Yaoundé,Cameroon,False,True
2000-04-19,Mali,Burkina Faso,2,1,Friendly,Bamako,Mali,False,True
2000-04-21,Algeria,Cape Verde,2,0,FIFA World Cup qualification,Annaba,Algeria,False,True
2000-04-22,Gabon,Madagascar,1,0,FIFA World Cup qualification,Libreville,Gabon,False,True
2000-04-22,Kenya,Malawi,0,0,FIFA World Cup qualification,Nairobi,Kenya,False,False
2000-04-22,Morocco,Gambia,2,0,FIFA World Cup qualification,Casablanca,Morocco,False,True
2000-04-22,Namibia,Seychelles,3,0,FIFA World Cup qualification,Windhoek,Namibia,False,True
2000-04-22,Nigeria,Eritrea,4,0,FIFA World Cup qualification,Lagos,Nigeria,False,True
2000-04-22,Sierra Leone,São Tomé and Príncipe,4,0,FIFA World Cup qualification,Freetown,Sierra Leone,False,True
2000-04-22,South Africa,Lesotho,1,0,FIFA World Cup qualification,Bloemfontein,South Africa,False,True
2000-04-22,Saint Kitts and Nevis,Saint Vincent and the Grenadines,1,2,FIFA World Cup qualification,Basseterre,Saint Kitts and Nevis,False,False
2000-04-22,Tunisia,Mauritania,3,0,FIFA World Cup qualification,Tunis,Tunisia,False,True
2000-04-22,Zambia,Botswana,1,0,FIFA World Cup qualification,Lusaka,Zambia,False,True
2000-04-23,Angola,Eswatini,7,1,FIFA World Cup qualification,Luanda,Angola,False,True
2000-04-23,Bermuda,Antigua and Barbuda,1,1,FIFA World Cup qualification,Hamilton,Bermuda,False,False
2000-04-23,Burkina Faso,Ethiopia,3,0,FIFA World Cup qualification,Ouagadougou,Burkina Faso,False,True
2000-04-23,Cameroon,Somalia,3,0,FIFA World Cup qualification,Yaoundé,Cameroon,False,True
2000-04-23,Congo,Equatorial Guinea,2,1,FIFA World Cup qualification,Pointe-Noire,Congo,False,True
2000-04-23,DR Congo,Djibouti,9,1,FIFA World Cup qualification,Kinshasa,DR Congo,False,True
2000-04-23,Egypt,Mauritius,4,2,FIFA World Cup qualification,Alexandria,Egypt,False,True
2000-04-23,Ghana,Tanzania,3,2,FIFA World Cup qualification,Accra,Ghana,False,True
2000-04-23,Guinea,Uganda,3,0,FIFA World Cup qualification,Conakry,Guinea,False,True
2000-04-23,Ivory Coast,Rwanda,2,0,FIFA World Cup qualification,Abidjan,Ivory Coast,False,True
2000-04-23,Liberia,Chad,0,0,FIFA World Cup qualification,Paynesville,Liberia,False,False
2000-04-23,Mali,Libya,3,1,FIFA World Cup qualification,Bamako,Mali,False,True
2000-04-23,Mozambique,Sudan,2,1,FIFA World Cup qualification,Maputo,Mozambique,False,True
2000-04-23,Senegal,Benin,1,0,FIFA World Cup qualification,Dakar,Senegal,False,True
2000-04-23,Togo,Guinea-Bissau,3,0,FIFA World Cup qualification,Lomé,Togo,False,True
2000-04-23,Zimbabwe,Central African Republic,3,1,FIFA World Cup qualification,Harare,Zimbabwe,False,True
2000-04-25,Hong Kong,China PR,0,1,Friendly,Victoria,Hong Kong,False,False
2000-04-26,Andorra,Belarus,2,0,Friendly,Sant Julià de Lòria,Andorra,False,True
2000-04-26,Armenia,Georgia,0,0,Friendly,Yerevan,Armenia,False,False
2000-04-26,Austria,Croatia,1,2,Friendly,Vienna,Austria,False,False
2000-04-26,Bolivia,Colombia,1,1,FIFA World Cup qualification,La Paz,Bolivia,False,False
2000-04-26,Brazil,Ecuador,3,2,FIFA World Cup qualification,São Paulo,Brazil,False,True
2000-04-26,Bulgaria,Ukraine,0,1,Friendly,Sofia,Bulgaria,False,False
2000-04-26,Chile,Peru,1,1,FIFA World Cup qualification,Santiago,Chile,False,False
2000-04-26,Czech Republic,Israel,4,1,Friendly,Prague,Czech Republic,False,True
2000-04-26,Denmark,Sweden,0,1,Friendly,Copenhagen,Denmark,False,False
2000-04-26,France,Slovenia,3,2,Friendly,Saint-Denis,France,False,True
2000-04-26,Germany,Switzerland,1,1,Friendly,Kaiserslautern,Germany,False,False
2000-04-26,Republic of Ireland,Greece,0,1,Friendly,Dublin,Republic of Ireland,False,False
2000-04-26,Italy,Portugal,2,0,Friendly,Reggio di Calabria,Italy,False,True
2000-04-26,South Korea,Japan,1,0,Friendly,Seoul,South Korea,False,True
2000-04-26,Liechtenstein,Faroe Islands,0,1,Friendly,Vaduz,Liechtenstein,False,False
2000-04-26,Lithuania,Latvia,2,1,Baltic Cup,Kaunas,Lithuania,False,True
2000-04-26,Luxembourg,Estonia,1,1,Friendly,Luxembourg,Luxembourg,False,False
2000-04-26,North Macedonia,Albania,1,0,Friendly,Prilep,North Macedonia,False,True
2000-04-26,Netherlands,Scotland,0,0,Friendly,Arnhem,Netherlands,False,False
2000-04-26,Northern Ireland,Hungary,0,1,Friendly,Belfast,Northern Ireland,False,False
2000-04-26,Norway,Belgium,0,2,Friendly,Oslo,Norway,False,False
2000-04-26,Paraguay,Uruguay,1,0,FIFA World Cup qualification,Asunción,Paraguay,False,True
2000-04-26,Poland,Finland,0,0,Friendly,Poznań,Poland,False,False
